customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Cuentas_Diarias
0047-ZHDTW,,Female,0,0,0,11,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),79.0,929.3,2.6333333333333333
0120-YZLQA,,Male,0,0,0,71,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),19.9,1355.1,0.6633333333333333
0154-QYHJU,,Male,0,0,0,29,1,0,DSL,1,1,0,1,0,0,One year,1,Electronic check,58.75,1696.2,1.9583333333333333
0162-RZGMZ,,Female,1,0,0,5,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.9,287.85,1.9966666666666666
0274-VVQOQ,,Male,1,1,0,65,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Bank transfer (automatic),103.15,6792.45,3.4383333333333335
0328-IBUPK,,Female,0,1,1,51,0,0,DSL,1,0,0,1,0,0,Two year,0,Bank transfer (automatic),34.2,1782.0,1.1400000000000001
0448-YZNZE,,Male,1,1,0,27,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,95.55,2510.2,3.185
0510-EXSMQ,,Female,0,0,0,9,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,69.05,651.5,2.3016666666666667
0530-HBKHZ,,Female,1,1,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,24.8,24.8,0.8266666666666667
0534-JRNIG,,Female,0,0,0,6,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),93.55,536.4,3.118333333333333
0542-YUDZL,,Female,0,1,1,14,1,1,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,25.55,372.45,0.8516666666666667
0548-BCTNE,,Male,0,0,0,48,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Credit card (automatic),106.1,5082.8,3.5366666666666666
0567-DLARH,,Female,0,1,1,30,0,0,DSL,0,0,0,1,1,1,Month-to-month,0,Credit card (automatic),51.2,1561.5,1.7066666666666668
0622-OCUQY,,Male,0,0,0,44,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,20.05,845.25,0.6683333333333333
0639-QDHAY,,Female,0,0,0,22,1,0,Fiber optic,1,0,0,1,0,1,Month-to-month,1,Electronic check,89.05,1886.25,2.9683333333333333
0699-XSLUE,,Male,0,1,1,71,1,1,DSL,1,0,1,1,1,1,One year,0,Electronic check,85.45,6300.85,2.8483333333333336
0769-WXZYU,,Male,0,0,0,34,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),26.1,980.35,0.87
0840-JCCUW,,Female,0,1,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Electronic check,45.0,89.75,1.5
0910-AJOHQ,,Female,0,0,0,64,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),115.1,7334.05,3.8366666666666664
0950-TZGED,,Male,0,0,0,56,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),25.95,1444.05,0.865
0968-FTNYZ,,Female,0,0,1,13,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Electronic check,56.0,764.55,1.8666666666666667
1058-CIYUA,,Female,1,1,0,52,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,106.5,5621.85,3.55
1119-VJAQV,,Male,1,1,0,6,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,80.8,457.1,2.6933333333333334
1195-UQFHQ,,Male,0,0,0,61,1,1,Fiber optic,1,0,1,0,1,1,One year,0,Electronic check,104.0,6363.45,3.466666666666667
1232-TPUYA,,Female,1,1,0,1,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.55,69.55,2.3183333333333334
1235-GPKNS,,Female,0,0,1,5,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,46.0,221.7,1.5333333333333334
1268-VSSGL,,Male,0,1,0,4,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Electronic check,70.5,294.2,2.35
1289-RKJJR,,Male,0,0,0,28,1,0,Fiber optic,0,0,1,1,0,1,Month-to-month,0,Electronic check,91.0,2626.15,3.033333333333333
1314-HQHAL,,Male,0,0,0,58,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.3,1131.5,0.6766666666666666
1370-AQYEM,,Male,0,1,1,5,1,0,Fiber optic,1,0,1,0,0,1,Month-to-month,1,Mailed check,90.35,434.5,3.0116666666666663
1395-QOUWC,,Female,0,1,1,22,1,0,DSL,0,1,0,0,1,1,One year,1,Bank transfer (automatic),69.5,1498.2,2.316666666666667
1427-GOPMO,,Male,0,0,0,57,1,1,Fiber optic,0,0,0,0,1,0,One year,1,Electronic check,86.9,4939.25,2.896666666666667
1428-QPOOL,,Female,0,1,1,65,1,1,DSL,1,1,0,1,1,1,Two year,1,Bank transfer (automatic),82.5,5215.1,2.75
1645-EFCGT,,Male,0,1,1,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.4,1363.25,0.6466666666666666
1676-BZZYV,,Male,0,1,1,55,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,19.5,1026.35,0.65
1736-FCXMC,,Male,0,0,0,56,1,1,Fiber optic,0,1,0,1,0,1,Month-to-month,1,Electronic check,94.45,5124.6,3.1483333333333334
1766-UMRDB,,Male,1,0,0,34,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),69.15,2275.1,2.305
1867-RAWZK,,Male,0,1,1,19,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,0,Electronic check,103.3,2012.7,3.4433333333333334
1972-RSMOV,,Female,0,1,0,40,1,0,No,0,0,0,0,0,0,Two year,0,Mailed check,19.1,780.1,0.6366666666666667
1975-FCJTE,,Female,0,1,0,45,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,25.5,1121.05,0.85
2183-ZULVZ,,Female,0,1,1,70,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Credit card (automatic),115.15,8250.0,3.8383333333333334
2353-VPYNS,,Male,1,0,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.65,73.65,2.455
2424-GXJQO,,Female,0,0,0,3,1,0,DSL,0,0,1,0,1,0,Month-to-month,0,Electronic check,57.55,161.45,1.9183333333333332
2508-QJJFP,,Male,0,0,1,47,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),20.55,1013.05,0.685
2550-ZQZPP,,Male,1,1,0,7,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,75.4,533.05,2.5133333333333336
2575-EAMDV,,Female,0,0,0,35,1,0,Fiber optic,0,0,1,1,1,1,One year,1,Electronic check,99.25,3532.0,3.308333333333333
2599-GTQWQ,,Male,1,0,0,39,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),95.65,3759.05,3.1883333333333335
2642-NQSNM,,Female,0,0,0,8,1,0,DSL,1,0,0,1,0,0,One year,0,Bank transfer (automatic),54.25,447.75,1.8083333333333333
2672-SXZJB,,Female,0,1,1,56,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),19.8,1119.9,0.66
2855-QOWGP,,Male,0,0,1,34,1,1,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,103.8,3470.8,3.46
2956-MHLSX,,Male,0,0,0,1,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,50.8,50.8,1.6933333333333331
2991-OKAXW,,Male,0,0,0,44,0,0,DSL,0,1,1,0,1,1,One year,1,Mailed check,53.95,2375.4,1.7983333333333333
3007-KYUNZ,,Female,0,1,1,19,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,25.6,485.9,0.8533333333333334
3012-OALWM,,Male,0,0,0,9,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Electronic check,75.6,661.55,2.52
3018-DZHFE,,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.55,19.55,0.6516666666666667
3078-NDXXG,,Female,0,0,0,44,1,1,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,50.15,2139.1,1.6716666666666666
3134-JCVOE,,Female,0,0,0,3,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Mailed check,29.2,98.5,0.9733333333333333
3161-PJNCN,,Female,1,1,0,67,1,0,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),20.05,1263.05,0.6683333333333333
3337-EUOON,,Male,0,1,1,69,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),26.0,1796.55,0.8666666666666667
3345-CSCIA,,Male,0,0,0,68,1,1,DSL,1,1,1,0,0,1,One year,1,Credit card (automatic),76.9,5023.0,2.5633333333333335
3394-UQYIB,,Female,1,1,0,2,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),50.15,115.1,1.6716666666666666
3443-KUJWU,,Male,0,1,0,47,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,104.1,5135.15,3.4699999999999998
3485-REZCX,,Male,0,0,0,64,1,1,Fiber optic,1,1,0,0,0,0,One year,1,Credit card (automatic),84.3,5289.05,2.81
3590-DWSLF,,Female,0,0,0,70,1,1,Fiber optic,1,1,1,1,1,1,One year,0,Credit card (automatic),115.55,8127.6,3.8516666666666666
3601-UTZXO,,Male,0,1,1,41,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.5,798.2,0.65
3643-VBLHT,,Male,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Month-to-month,1,Mailed check,45.0,1242.45,1.5
3660-ENEST,,Female,1,1,0,72,1,1,DSL,1,1,1,0,1,1,Two year,1,Credit card (automatic),84.1,6129.65,2.8033333333333332
3680-ISIKN,,Male,0,0,0,22,1,1,No,0,0,0,0,0,0,Two year,0,Mailed check,25.25,566.5,0.8416666666666667
3728-SDRGN,,Male,0,0,1,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.25,19.25,0.6416666666666667
3775-TDLCC,,Male,0,1,1,67,1,1,Fiber optic,0,1,1,0,0,0,One year,0,Electronic check,87.4,5918.8,2.9133333333333336
3781-LIPVO,,Female,0,1,0,7,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,86.5,582.5,2.8833333333333333
3803-QHPWH,,Female,1,1,0,29,0,0,DSL,1,0,1,0,0,1,Month-to-month,1,Electronic check,45.0,1228.65,1.5
3995-RWMUH,,Male,0,0,0,7,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),44.65,322.5,1.4883333333333333
4047-GGUUG,,Female,0,0,0,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),19.45,227.45,0.6483333333333333
4060-BTPXO,,Female,0,1,0,67,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Bank transfer (automatic),105.7,6816.95,3.5233333333333334
4087-ULYNQ,,Female,0,1,1,47,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.25,873.4,0.675
4102-BEFEK,,Male,0,0,0,62,1,0,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),20.05,1201.65,0.6683333333333333
4123-VPQTQ,,Female,0,0,0,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.55,61.05,0.6516666666666667
4140-TOILV,,Male,0,1,0,22,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Bank transfer (automatic),87.0,1850.65,2.9
4250-QVQRU,,Male,0,0,1,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.25,48.35,0.6416666666666667
4268-YNAHK,,Male,0,0,1,33,1,0,No,0,0,0,0,0,0,One year,1,Mailed check,20.15,682.15,0.6716666666666666
4290-UZSKY,,Female,0,0,0,4,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,79.0,303.15,2.6333333333333333
4438-GGYWL,,Male,0,1,1,62,1,1,Fiber optic,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),115.55,7159.05,3.8516666666666666
4468-MLDTH,,Male,0,0,0,4,1,0,DSL,0,0,0,1,1,0,Month-to-month,1,Electronic check,61.3,249.4,2.0433333333333334
4471-OIIDG,,Female,0,0,0,10,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.6,1060.2,3.353333333333333
4477-QAXWD,,Male,0,1,0,25,0,0,DSL,0,0,1,0,1,0,One year,1,Credit card (automatic),38.1,970.4,1.27
4498-WRAJX,,Male,1,1,1,71,1,1,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),105.1,7548.1,3.503333333333333
4536-IPCKQ,,Male,0,0,0,56,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,0,Electronic check,98.6,5581.05,3.2866666666666666
4555-YIGPD,,Female,0,0,1,4,0,0,DSL,1,1,1,0,1,1,Month-to-month,1,Mailed check,57.2,223.75,1.9066666666666667
4585-XOMAN,,Male,1,1,0,34,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Credit card (automatic),85.2,2874.45,2.8400000000000003
4603-FDONU,,Female,0,1,1,32,0,0,DSL,1,1,0,0,0,0,Month-to-month,1,Electronic check,35.15,1051.05,1.1716666666666666
4610-WUVVT,,Male,1,1,1,46,1,1,Fiber optic,1,1,1,0,1,0,Month-to-month,1,Electronic check,100.7,4541.2,3.356666666666667
4626-JYHAY,,Female,1,0,0,20,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,1,Electronic check,94.1,1782.4,3.1366666666666663
4674-LRJIC,,Female,0,0,0,1,1,0,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Electronic check,94.4,94.4,3.146666666666667
4691-NEWPF,,Male,0,1,0,11,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),45.9,521.9,1.53
4762-XTUEC,,Female,0,1,0,67,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Credit card (automatic),109.7,7344.45,3.6566666666666667
4805-ZRGEZ,,Male,1,1,0,61,1,1,DSL,0,1,0,0,0,1,One year,0,Bank transfer (automatic),64.05,3902.6,2.135
4878-SMQBX,,Female,0,0,0,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),18.75,53.15,0.625
4946-VTTND,,Male,0,1,0,8,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Mailed check,75.0,658.1,2.5
4988-BNLTU,,Male,0,0,0,30,1,1,Fiber optic,1,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),100.4,2936.25,3.3466666666666667
4988-RZJHG,,Female,0,1,0,8,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.9,764.95,2.83
5083-QPLHM,,Male,0,1,1,14,1,0,DSL,1,1,0,0,1,0,Month-to-month,1,Electronic check,65.45,937.6,2.1816666666666666
5134-RCXTN,,Female,1,1,0,50,1,1,No,0,0,0,0,0,0,One year,0,Electronic check,25.2,1306.3,0.84
5206-YQKMK,,Female,0,0,0,25,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),24.75,692.1,0.825
5235-XATIX,,Male,0,0,1,22,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Electronic check,89.4,2001.5,2.98
5243-NIEIT,,Male,0,1,0,14,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,85.15,1139.2,2.8383333333333334
5264-IWHMU,,Male,0,0,0,1,1,0,DSL,0,0,0,1,0,0,Month-to-month,0,Mailed check,49.05,49.05,1.635
5285-TWCNP,,Female,1,0,0,70,1,1,DSL,0,1,1,1,1,0,Two year,1,Bank transfer (automatic),75.5,5212.65,2.5166666666666666
5332-UJJBL,,Male,0,0,0,4,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.0,73.45,0.6333333333333333
5365-FJKGQ,,Male,0,0,0,25,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Mailed check,70.95,1767.35,2.365
5425-GQTTT,,Male,0,1,1,68,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),24.0,1664.3,0.8
